MacroPlot Name,Date,Index,IsVerified,QTR,SubFrac,TagNo,Status,DBH,Ht,CrwnRto,CrwnCl,LiCrBHt,CrFuBHt,CrwnRad,Age,GrwthRt,Mort,DecayCl,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,MacroPlotSize,SnagPlotSize,BrkPntDia,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483644,True,,4,5,L,10.9,7.8,,,3.2,3.2,0.65,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,5.43NW,,,,,,,,,,,,PIGL,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483643,True,,3,6,L,8.4,6.9,,,1.8,1.8,0.47,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3.38SW,,,,,,,,,,,,PIGL,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483642,True,,4,7,L,3.7,3.1,,,0,0.85,0.77,,,,,0,,,,,,,,,,,,,,,,,,,,,,,5.40NW,,,,,,,,,,,,PIGL,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483641,True,,2,8,L,20.1,14.1,,,6.4,6.4,1.2,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,5.56SE,,,,,,,,,,,,PIGL,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483640,True,,2,9,L,13.7,11.4,,,4.3,4.3,0.72,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,1.60SE,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,J Mitchell; R Wilson; M Llanes; C Campanelli,J OConnor,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483648,True,,1,1,L,39.2,21,,,4,0.47,2.9,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483647,True,,1,2,L,26.3,13,,,2,0.65,2.5,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483646,True,,1,3,L,21,15,,,2.5,0.3,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483645,True,,1,4,L,6.4,6,,,3,0,1,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483644,True,,1,5,L,6,4,,,2,0,0.7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483643,True,,1,6,L,4.9,4,,,1.7,0.15,1.2,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483642,True,,1,7,L,2.2,3,,,0.47,0.2,0.6,,,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,J OConnor; R Nessle,J OConnor,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483648,True,,1,1,L,4.7,3.9,,,1.8,0,0.6,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,NE @ 6.13 m along transect tape,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483647,True,,1,2,L,3.3,2.6,,,1.8,0.5,0.45,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,NE @ 0.40 m along transect tape,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483646,True,,1,3,L,7.9,7.4,,,1.8,0.34,0.65,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,SE @ 2.62 m along transect tape,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483645,True,,1,4,L,10,7.9,,,2.25,0.57,1.4,,,,,2.22,,,,,,,,,,,,,,,,,,,,,,,SW @ 2.58 m along transect tape,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483644,True,,1,5,L,23.4,15.8,,,2.35,0.64,1.12,,,,,1.46,,,,,,,,,,,,,,,,,,,,,,,NW @ 2.32 m along transect tape,,,,,,,,,,,,PIGL,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483643,True,,1,6,L,28.2,15.8,,,1.66,0.66,1.82,,,,,1.66,,,,,,,,,,,,,,,,,,,,,,,NW @ 6.18 m along transect tape,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,T. Schaub; N. Tilges,M. Behrens,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483648,True,,4,1,L,4,5.2,,,2.1,0.96,0.73,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,Location: 2.39 NW,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483647,True,,4,2,L,3.2,4.9,,,1.85,1.25,0.5,,,,,1.85,,,,,,,,,,,,,,,,,,,,,,,Location 2.37 NW,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483646,True,,3,3,L,5.9,6.1,,,1.7,0.82,1.08,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,Location: 2.37 SW,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483645,True,,3,4,L,6.7,6.9,,,1.72,0.92,1.18,,,,,1.72,,,,,,,,,,,,,,,,,,,,,,,Location: 3.98 NE,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483644,True,,3,5,L,10.1,9,,,1.38,0.85,1.81,,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,Location: 3.29 SW,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483643,True,,3,6,L,11.1,11.1,,,2.1,1.06,0.9,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,Location:5.84 SW,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483642,True,,3,7,L,18.6,13,,,3.3,0.95,1.4,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,Location: 6.26 W,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483641,True,,3,8,L,21.3,16,,,4.7,1.05,1.7,,,,,4,,,,,,,,,,,,,,,,,,,,,,,Location: 3.66 SW,,,,,,,,,,,,PIGL,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483640,True,,3,9,L,4.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: 3.07 W,,,,,,,,,,,,BEPA,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483639,True,,4,10,L,6.2,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: 4.33 NW ,NW bent over to south,,,,,,,,,,,BEPA,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483638,True,,4,11,L,6.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: 5.55 NE,,,,,,,,,,,,BEPA,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483637,True,,4,12,L,12.5,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: 5.8 NW,,,,,,,,,,,,BEPA,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483636,True,,4,13,L,12.2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location:4.56 NW,,,,,,,,,,,,BEPA,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483635,True,,4,14,L,17.1,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: 4.01 W,,,,,,,,,,,,BEPA,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483634,True,,4,15,L,17.3,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Location: 1.42 SW,,,,,,,,,,,,BEPA,,
DENA-A274-G3,8/16/2016 3:44:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,Rachel Loehman,J. Hrobak,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483648,True,,1,100,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No live trees,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/7/2005 1:40:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A185-86-137,7/7/2005 1:40:42 PM,1001,True,,1,100,X,,,,X,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,, TreeBelt,,,,,,,,,,UNKN_100,,
A185-86-137,7/18/2006 4:27:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A185-86-137,7/18/2006 4:27:06 PM,-2147483648,True,,1,100,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/26/2011 1:50:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
A185-86-137,7/26/2011 1:50:00 PM,-2147483648,True,,1,100,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-H4,7/20/2016 10:50:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,Jennifer Barnes,J. Hrobak,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483648,True,,1,100,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Live Trees over dbh.,,,,,,,,,,,,,UNKN_100,,
B288-01-1179,7/7/2005 9:44:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.003,0,,,,,,,,True,
B288-01-1179,7/7/2005 9:44:59 AM,1001,True,,1,100,X,,,,X,,,,,,,,,,,,,,,,,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,No live trees in plot.,,,,,,,,,,,,,UNKN_100,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,J Barnes; K Gates; J OConnor,J OConnor,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483648,True,,1,1,L,6.2,8.2,,,3,0.22,0.45,,,,,3,,,,,,,,,,,,,,,,,,,,,,,NW,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483647,True,,1,2,L,9.8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NW,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483646,True,,1,3,L,13.1,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NW,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483645,True,,1,4,L,19.9,14.5,,,5,0.35,1.5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,NW,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483644,True,,1,5,L,3.3,4.5,,,2,0,0.6,,,,,2,,,,,,,,,,,,,,,,,,,,,,,SW,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483643,True,,1,6,L,4.9,2.5,,,1.5,0,0.95,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,,SE,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483642,True,,1,7,L,9.7,8.3,,,2.7,0.27,1.3,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,SE,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483641,True,,1,8,L,13.3,11.5,,,2,0.05,1.5,,,,,2,,,,,,,,,,,,,,,,,,,,,,,SE,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483640,True,,1,9,L,10.4,9.5,,,7.2,0.04,1,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,NW,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483639,True,,1,10,L,17.6,14.2,,,5.3,0.05,1.4,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483638,True,,1,11,L,14.8,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SW,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483637,True,,1,12,L,15.5,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483636,True,,1,13,L,20.8,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483635,True,,1,14,L,24.1,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SE,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0,,Sarah Stehn,Tree location in relation to transect (meters value),Additional comments on tree damage,,,,True,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,1,False,,1,1,L,,9.2,,,3.5,2.86,1.26,,,,,3.08,,,,,,,,,,,,,,,,,,,,,,,1.49m from center @ 328 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,2,False,,1,2,L,,14.9,,,1.3,1.3,1.6,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,4.11m from center @ 282 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,3,False,,1,3,L,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,broken top,3.68m from center @ 336 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,4,False,,1,4,L,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4m from center @ 332 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,5,False,,1,5,L,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89m from center @ 142 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,6,False,,1,6,L,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.37m from center @ 26 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,7,False,,1,7,L,,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55m from center @ 8 degrees,,,,,,,,,,,,POTR5,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,8,False,,1,8,L,,14.5,,,6,2.38,0.71,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,6.4m from center @ 110 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,9,False,,1,9,L,,13.2,,,5.7,2.35,0.7,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,5.16m from center @ 184 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,10,False,,1,10,L,,7.4,,,3.2,1.86,0.75,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,7.39m from center @ 318 degrees,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,11,False,,1,11,L,,2.85,,,0.95,0.63,0.51,,,,,1.34,,,,,,,,,,,,,,,,,,,,,,,3.81m from center @ 274 degrees,,,,,,,,,,,,PIGL,,
