Macroplot,SampleEventDate,SampleEventTeam,SampleEventComment,MonStatusOrd,MonStatus,LegacyMonStatus,Purpose,LocatedBy,Type,Latitude,Longitude,UTM_X,UTM_Y,UTM_Zone,Datum,PDOP,Precision,DateIn,FutureVisit,DateOut,Elevation,ElevationUnits,Azimuth,Aspect,SlopeHill,SlopeTransect,StartPoint,Directions,Comments,MetaData,UV1,UV2,UV3,UV4,UV5,UV6,UV7,UV8
"127-A003",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble 2005 GeoXH","Control",67.735499,-162.278225,,,"","NAD83 (2001)",0,0.48,6/24/2004 10:28:35 AM,,,407,"feet",144,260,1,0,"Above-listed longitude and latitude are for 0 M end of plot.     Coordinates for 30m end: 67.735282, -162.277816   (Collected in 2013)    Plot ends marked with rebar.","Declination Used: 17 E","","Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields: 			  UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: (yes, no, or unknown)   UV6	Marker Type: (Wooden Stake, Rebar, etc.)  ______________________________________________________________________________  Unit:  				SAMPLING EVENT   Mode:				Project management  Specific Location:		Properties Tab  Datasheet Location:  		AKRO General Site Information Datasheet.    UV Fields:  			UV1 	Viereck Vegetation Class Current Year   				UV2 	“Fire Evidence” “Old Fire Evidence” “No Fire Evidence”  				UV3 	 Soil Moisture: “Wet” or “Moist” or “Dry”  ______________________________________________________________________________  Unit:				COVER – SPECIES COMPOSITION (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO General Vegetation Information				   UV Fields: 			For Tree Species Only:  				UV1  	Height to Live Crown (cm)	  				UV2  	Height to ladder fuel (cm)  				UV3  	Average DBH (cm)  Comment			general notes, damage codes, descriptors  ___________________________________________________________  Unit: 				COVER – POINTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Vegetation Point Intercept Datasheet.   UV Fields:			UV1	Tree Damage Code or Status (e.g charred, scorched etc)  				UV2	“Seedling” or “Sapling” if indicated in notes	  				UV3	“Rotten” or “Solid” for 1000HR fuels  ______________________________________________________________  Unit: 				DENSITY- BELTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Tree Density   UV Fields: 			For trees (transect 1):   				UV1	 damage codes (e.g. “SPB” for spruce bark beetle)   				UV2	 plot area (square meters)  ______________________________________________________________________________  Unit:  				SOILS22 PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO Active Layer/Soils   Comments:  			Surface Layer Fuel Code  ______________________________________________________________________________  Unit:  				SURFACE FUELS  Mode:				Data Entry and Edit Details  Datasheet Location		AKRO Down Woody Debris& Duff Depths  UV Fields:			UV1	decay status (either “solid” or “rotten)  				UV2	tree species of 1000HR fuel if known  				UV3	damage (e.g. burned, SPB)   ____________________________________________________________________________  Unit:				DISTURBANCE HISTORY  Mode: 				Data Entry and Edit  Datasheet Location:  		AKRO General Site Information Datasheet.  UV Fields			UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comment	 If exact disturbance date is not known or event is ongoing then explain in comments field  ","NOAT","2C2C Open Low Mesic Shrub Birch-Ericaceous Shrub","2004","Uvgoon Creek Fire, A35A","Plot Marked: yes","Marker Type: Rebar","",""
"127-A003",6/24/2004 10:31:28 AM,"Larry Weddle, E. Olson, and D. Ostmann","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs. ",0,"UnBurnYear0","UnBurnYear0","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A003",6/15/2005 5:15:15 PM,"Dan Ostmann and Charlie Reynar","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs. ",1,"UnBurnYear1","UnBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A003",6/20/2007 12:43:07 PM,"J. Barnes and Mary Booth","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Shrub density data collected in 6 (1m x 1m) subbelts along the 30m x 1m belt transect.  Subbelts are located at 0-1m, 5-6m, 10-11m, 15-16m, 20-21m, and 25-26m.     White spruce and White spruce seedlings are located in the vicinity but not within the 30m x 1m belt transect.",2,"UnBurnYear3","UnBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-A003",6/29/2013 11:22:17 AM,"Jennifer Barnes & Jennifer Northway","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     0m transect end was found, located on a raised mound and marked with rebar. No 30m end was found. Staked with dead willow branch and located in taller birch area.   Area has some possible old fire evidence with dead sphagnum mounds. Much more feather moss that other sites.    GPS coordinates updated with 2005 Trimble GeoXH with Hurricane Antenna.  Rover file: F062911A    White spruce and White spruce seedlings are located in the vicinity but not within the 30m x 1m belt transect.",3,"UnBurnYear9","UnBurnYear9","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B001",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Trimble 2005 GeoXH","Burn",67.781123,-162.334308,,,"","NAD83 (2011)",,0.54,6/23/2004 8:54:32 PM,,,287,"feet",18,335,0.5,0,"Above-listed longitude and latitude are for 0 M end of plot.     Coordinates for 30m end: 67.781378  x  -162.334143  (Collected in 2013)    Could not locate rebar.  Re-marked with wooden stakes at 0m and 30m transet ends as of 2007.  ","Declination Used: 17 E","","Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields: 			  UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: (yes, no, or unknown)   UV6	Marker Type: (Wooden Stake, Rebar, etc.)  ______________________________________________________________________________  Unit:  				SAMPLING EVENT   Mode:				Project management  Specific Location:		Properties Tab  Datasheet Location:  		AKRO General Site Information Datasheet.    UV Fields:  			UV1 	Viereck Vegetation Class Current Year   				UV2 	“Fire Evidence” “Old Fire Evidence” “No Fire Evidence”  				UV3 	 Soil Moisture: “Wet” or “Moist” or “Dry”  ______________________________________________________________________________  Unit:				COVER – SPECIES COMPOSITION (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO General Vegetation Information				   UV Fields: 			For Tree Species Only:  				UV1  	Height to Live Crown (cm)	  				UV2  	Height to ladder fuel (cm)  				UV3  	Average DBH (cm)  Comment			general notes, damage codes, descriptors  ___________________________________________________________  Unit: 				COVER – POINTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Vegetation Point Intercept Datasheet.   UV Fields:			UV1	Tree Damage Code or Status (e.g charred, scorched etc)  				UV2	“Seedling” or “Sapling” if indicated in notes	  				UV3	“Rotten” or “Solid” for 1000HR fuels  ______________________________________________________________  Unit: 				DENSITY- BELTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Tree Density   UV Fields: 			For trees (transect 1):   				UV1	 damage codes (e.g. “SPB” for spruce bark beetle)   				UV2	 plot area (square meters)  ______________________________________________________________________________  Unit:  				SOILS22 PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO Active Layer/Soils   Comments:  			Surface Layer Fuel Code  ______________________________________________________________________________  Unit:  				SURFACE FUELS  Mode:				Data Entry and Edit Details  Datasheet Location		AKRO Down Woody Debris& Duff Depths  UV Fields:			UV1	decay status (either “solid” or “rotten)  				UV2	tree species of 1000HR fuel if known  				UV3	damage (e.g. burned, SPB)   ____________________________________________________________________________  Unit:				DISTURBANCE HISTORY  Mode: 				Data Entry and Edit  Datasheet Location:  		AKRO General Site Information Datasheet.  UV Fields			UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comment	 If exact disturbance date is not known or event is ongoing then explain in comments field  ____________________________________________________________________________  Unit:				POST-BURN SEVERITY (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location: 		AKRO Active Layer/Duff Consumption    UV Fields:   			UV1	Pre-fire: Burn Pin above surface (cm) (A)	  				UV2	Post-fire: Burn Pin Exposed (cm) (B)  				UV3	Burn Depth cm (B-A)  Comment			Surface layer fuel code (LD, UD, MIN)  ______________________________________________________________________________  Unit: 				CBI  Mode: 				Data Entry and Edit  Datasheet Location:		FFI-Burn Severity- Composite Burn Index  Comment  	If CBI_1, CBI_2, CBI_3 are used then define in associated databox comments section    ","NOAT","2C2A Open Low Mixed Shrub-Sedge Tussock Tundra","2004","Uvgoon Creek Fire, A35A","Plot Marked: Yes","Marker Type: Wooden Stakes","",""
"127-B001",6/23/2004 8:58:41 PM,"Larry Weddle, Dan Ostmann & G. Hook","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence: Fire Scars",4,"PostBurnYear0","PostBurnYear0","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B001",6/14/2005 3:59:45 PM,"Dan Ostmann, Charlie Reynar, and G. Hook","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence: Fire Scars    ",5,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B001",6/28/2007 11:37:42 AM,"Jennifer Barnes & G. Hook","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence = Charcoal    Shrub density data collected in 6 (1m x 1m) subbelts along the 30m x 1m belt transect.  Subbelts are located at 0-1m, 5-6m, 10-11m, 15-16m, 20-21m, and 25-26m.     Could not locate rebar.  Re-marked with wooden stakes at 0m and 30m transet ends as of 2007.  ",6,"PostBurnYear3","PostBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B001",6/27/2013 4:31:55 PM,"Jennifer Barnes & Jennifer Northway","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence = Charcoal    Plot Markers: Original rebar was not locatied in 2007 and were replaced with wooden stakes at both ends.  In 2013, could only locate 30m end wooden stake. Re-located 0m end based on azimuth and plot photos. Pink Magnets were inserted 2"" below the surface at both ends (2013). 0m end has an aluminum tag tied to it, above the surface.  30 m end has wooden stake and magnet (with flagging above the surface).    GPS coordinates updated with 2005 Trimble GeoXH. Rover file: F062712B",7,"PostBurnYear9","PostBurnYear9","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B002",,"","",,"","","Pre- and Post- Fire Effects (PPF)","Garmin GPSmap76CSx","Burn",67.781852,-162.212737,,,"","NAD83 (2011)",0,0.45,6/24/2004 9:40:51 PM,,,500,"feet",279,325,1,1,"Above-listed longitude and latitude are for 0 M end of plot.     Coordinates for 30 M end: 67.781894  x  -162.213433   (Collected in 2013)    Rebar plot markers were replaced with wooden lathes in 2007.","Declination Used: 17E","","Unit:  MACROPLOT,   Mode:	Project Management  Specific Location: “User Variables” Tab	  UV Fields: 			  UV1	Park Unit (e.g. YUCH, DENA, WRST)  UV2	Pre-Fire Viereck Class Code   UV3	Fire Year (year of most recent fire occurrence) or Treatment Year   UV4	Fire Name and/or Number.    UV5 	Plot Marked: (yes, no, or unknown)   UV6	Marker Type: (Wooden Stake, Rebar, etc.)  ______________________________________________________________________________  Unit:  				SAMPLING EVENT   Mode:				Project management  Specific Location:		Properties Tab  Datasheet Location:  		AKRO General Site Information Datasheet.    UV Fields:  			UV1 	Viereck Vegetation Class Current Year   				UV2 	“Fire Evidence” “Old Fire Evidence” “No Fire Evidence”  				UV3 	 Soil Moisture: “Wet” or “Moist” or “Dry”  ______________________________________________________________________________  Unit:				COVER – SPECIES COMPOSITION (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO General Vegetation Information				   UV Fields: 			For Tree Species Only:  				UV1  	Height to Live Crown (cm)	  				UV2  	Height to ladder fuel (cm)  				UV3  	Average DBH (cm)  Comment			general notes, damage codes, descriptors  ___________________________________________________________  Unit: 				COVER – POINTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Vegetation Point Intercept Datasheet.   UV Fields:			UV1	Tree Damage Code or Status (e.g charred, scorched etc)  				UV2	“Seedling” or “Sapling” if indicated in notes	  				UV3	“Rotten” or “Solid” for 1000HR fuels  ______________________________________________________________  Unit: 				DENSITY- BELTS (METRIC)  Mode: 				Data Entry and Edit  Datasheet Location:		AKRO Tree Density   UV Fields: 			For trees (transect 1):   				UV1	 damage codes (e.g. “SPB” for spruce bark beetle)   				UV2	 plot area (square meters)  ______________________________________________________________________________  Unit:  				SOILS22 PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location:		AKRO Active Layer/Soils   Comments:  			Surface Layer Fuel Code  ______________________________________________________________________________  Unit:  				SURFACE FUELS  Mode:				Data Entry and Edit Details  Datasheet Location		AKRO Down Woody Debris& Duff Depths  UV Fields:			UV1	decay status (either “solid” or “rotten)  				UV2	tree species of 1000HR fuel if known  				UV3	damage (e.g. burned, SPB)   ____________________________________________________________________________  Unit:				DISTURBANCE HISTORY  Mode: 				Data Entry and Edit  Datasheet Location:  		AKRO General Site Information Datasheet.  UV Fields			UV1	CBI value (total plot CBI value)  UV2	Fire Name if known  UV3	% of plot affected by change agent  Comment	 If exact disturbance date is not known or event is ongoing then explain in comments field  ____________________________________________________________________________  Unit:				POST-BURN SEVERITY (METRIC) PROTOCOL  Mode:				Data Entry and Edit  Datasheet Location: 		AKRO Active Layer/Duff Consumption    UV Fields:   			UV1	Pre-fire: Burn Pin above surface (cm) (A)	  				UV2	Post-fire: Burn Pin Exposed (cm) (B)  				UV3	Burn Depth cm (B-A)  Comment			Surface layer fuel code (LD, UD, MIN)  ______________________________________________________________________________  Unit: 				CBI  Mode: 				Data Entry and Edit  Datasheet Location:		FFI-Burn Severity- Composite Burn Index  Comment  	If CBI_1, CBI_2, CBI_3 are used then define in associated databox comments section    ","NOAT","2C2A Open Low Mixed Shrub-Sedge Tussock Tundra","2004","Uvgoon Creek Fire, A35A","Plot Marked: Yes","Marker Type: Wooden Lathe","",""
"127-B002",6/23/2004 9:43:01 PM,"Dan Ostmann, Larry Weddle and G. Hook","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence: Fire Scars & Charcoal",4,"PostBurnYear0","PostBurnYear0","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B002",6/15/2005 12:44:07 PM,"Dan Ostmann and Charlie Reynar","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence: Fire Scars",5,"PostBurnYear1","PostBurnYear1","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B002",6/21/2007 2:35:17 PM,"Jennifer Barnes, Charlie Reynar and Mary Booth","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence: Charcoal    2007 Shrub density data collected in 6 (1m x 1m) subbelts along the 30m x 1m belt transect.  Subbelts are located at 0-1m, 5-6m, 10-11m, 15-16m, 20-21m, and 25-26m.     Rebar plot markers were replaced with wooden lathes in 2007.",6,"PostBurnYear3","PostBurnYear3","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
"127-B002",6/29/2013 9:44:20 AM,"Jennifer Barnes and Jennifer Northway","Plots beginning in A are controls and beginning in B are burned plots.  For example: A001 and B001 are pairs.     Fire Evidence: Charcoal & Burned Plants    Located rebar & wooden stake (broken) at the 0M end.  Could not located anything at 30M end. Marked 30M end based on photos which seem to match from 30M photos, but seem slightly off from 0M end. 0m end marked with wooden stake, rebar, subsurface magnet (pink flagging above ground), and aluminum tag.  30M end marked with  subsurface magnet and pink flagging (ends above ground).     Alder has grown considerably. Site has more ERVA4 than ""control"" (A002).  Likely that way prior to burn.  Has more defined tussocks.    GPS coordinates updated with 2005 Trimble GeoXH w/Hurricane Antenna.  Rover file: F062911A",7,"PostBurnYear9","PostBurnYear9","","","",,,,,"","",,,,,,,"",,,,,"","","","","","","","","","","",""
