MacroPlot Name,Date,Index,Transect,Quadrat,Status,SizeCl,AgeCl,Count,Height,SubFrac,Comment,UV1,UV2,UV3,NumTran,NumQuadTran,QuadLen,QuadWid,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483648,1,3,L,SE,I,3,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483647,1,3,L,SE,M,2,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483646,1,15,L,SE,M,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A274-G1,8/17/2016 8:46:09 AM,-2147483645,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-32,6/28/2022 2:51:48 PM,,,,,,,,,,,,,,1,3,0,0,3.14,m behrens t schaub r brand,M Behrens,Quadrat Radius (if Circular Plot)(m),,,,,True,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483648,1,4,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483647,1,8,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-32,6/28/2022 2:51:48 PM,-2147483646,1,12,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-A303-D6,7/17/2007 9:04:56 AM,,,,,,,,,,,,,,1,3,2,1,2,,,,,,,,True,
DENA-A303-D6,7/17/2007 9:04:56 AM,-2147483648,1,3,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A303-D6,7/17/2007 9:04:56 AM,-2147483647,1,15,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A303-D6,7/17/2007 9:04:56 AM,-2147483646,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-25,7/31/2014 3:07:00 PM,,,,,,,,,,,,,,1,4,2,2,4,J. Barnes; J. Nichols,J. Northway,,,,,,True,
DENA-WIG-25,7/31/2014 3:07:00 PM,-2147483648,1,4,L,SE,M,4,,1,Unburned,,,,,,,,,,,,,,,PIGL,,
DENA-WIG-25,7/31/2014 3:07:00 PM,-2147483647,1,11,X,,,0,,1,Unburned.  No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-25,7/31/2014 3:07:00 PM,-2147483646,1,6,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-25,7/31/2014 3:07:00 PM,-2147483645,1,13,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-BVL-25,8/6/2014 5:04:49 PM,,,,,,,,,,,,,,1,4,2,1,2,J. Barnes; C. Adam,J. Northway,,,,,,True,
DENA-BVL-25,8/6/2014 5:04:49 PM,-2147483648,1,1,L,SE,M,29,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-25,8/6/2014 5:04:49 PM,-2147483647,1,2,L,SE,M,4,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-25,8/6/2014 5:04:49 PM,-2147483646,1,3,L,SE,M,2,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-25,8/6/2014 5:04:49 PM,-2147483645,1,4,L,SE,M,2,,1,,,,,,,,,,,,,,,,PIMA,,
LACL-CUR-D05,6/19/2014 2:57:04 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Northway; E. Groth,J. Northway,,,,,,True,
LACL-CUR-D05,6/19/2014 2:57:04 PM,-2147483648,1,3,L,SE,M,1,,1,Unburned,,,,,,,,,,,,,,,PIMA,,
LACL-CUR-D05,6/19/2014 2:57:04 PM,-2147483647,1,14,L,SE,M,3,,1,Unburned,,,,,,,,,,,,,,,PIMA,,
LACL-CUR-D05,6/19/2014 2:57:04 PM,-2147483646,1,27,L,SE,M,2,,1,Unburned,,,,,,,,,,,,,,,PIMA,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J Mitchell; R Wilson; M Llanes; C Campanelli,J OConnor,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483648,1,4,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483647,1,8,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-Z3-22,7/22/2009 4:51:28 PM,-2147483646,1,12,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J OConnor; R Nessle,J OConnor,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483648,1,4,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483647,1,8,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483646,1,12,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-18,7/13/2022 5:08:33 PM,,,,,,,,,,,,,,1,3,0,0,3.14,T. Schaub; N. Tilges,M. Behrens,Quadrat Radius (if Circular Plot)(m),,,,,True,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483648,1,4,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483647,1,8,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483646,1,12,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G3,7/18/2007 4:00:51 PM,,,,,,,,,,,,,,1,3,2,1,2,,,,,,,,True,
DENA-A274-G3,7/18/2007 4:00:51 PM,-2147483648,1,3,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G3,7/18/2007 4:00:51 PM,-2147483647,1,15,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G3,7/18/2007 4:00:51 PM,-2147483646,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G3,8/16/2016 3:44:30 PM,,,,,,,,,,,,,,1,3,2,1,2,Rachel Loehman; Stacie Oaks,J. Hrobak,,,,,,True,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483648,1,3,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483647,1,15,L,SE,I,2,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483646,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Barnes; L. Ernst; B. West,J. Northway,,,,,,True,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483648,1,3,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483647,1,14,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-C07,6/19/2014 10:14:33 AM,-2147483646,1,27,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/7/2005 1:40:42 PM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A185-86-137,7/7/2005 1:40:42 PM,1,1,3,X,,X,0,,1,no seedlings,,, TreeSeedling,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/7/2005 1:40:42 PM,2,1,15,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/7/2005 1:40:42 PM,3,1,27,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/18/2006 4:27:06 PM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A185-86-137,7/18/2006 4:27:06 PM,1,1,3,X,,X,0,,1,no seedlings,,, TreeSeedling,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/18/2006 4:27:06 PM,2,1,15,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/18/2006 4:27:06 PM,3,1,27,X,,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/26/2011 1:50:00 PM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A185-86-137,7/26/2011 1:50:00 PM,-2147483648,1,3,X,,,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/26/2011 1:50:00 PM,-2147483647,1,15,X,,,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
A185-86-137,7/26/2011 1:50:00 PM,-2147483646,1,27,X,,,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-BVL-20,8/6/2014 4:11:23 PM,,,,,,,,,,,,,,1,4,2,1,2,J. Barnes; C. Adam,J. Northway,,,,,,True,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483648,1,1,L,SE,I,5,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483647,1,1,L,SE,I,16,,1,,,,,,,,,,,,,,,,BEPA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483646,1,2,L,SE,I,5,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483645,1,2,L,SE,I,27,,1,,,,,,,,,,,,,,,,BEPA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483644,1,3,L,SE,I,18,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483643,1,3,L,SE,I,6,,1,,,,,,,,,,,,,,,,BEPA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483642,1,4,L,SE,I,9,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-20,8/6/2014 4:11:23 PM,-2147483641,1,4,L,SE,I,14,,1,,,,,,,,,,,,,,,,BEPA,,
LACL-CUR-C03,6/19/2014 1:23:15 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Barnes; L. Ernst; B. West,J. Northway,,,,,,True,
LACL-CUR-C03,6/19/2014 1:23:15 PM,-2147483648,1,3,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-C03,6/19/2014 1:23:15 PM,-2147483647,1,14,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-C03,6/19/2014 1:23:15 PM,-2147483646,1,27,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-H4,7/18/2007 8:56:57 AM,,,,,,,,,,,,,,1,3,2,1,2,,,,,,,,True,
DENA-A274-H4,7/18/2007 8:56:57 AM,-2147483648,1,3,L,SE,I,2,,1,,,,,,,,,,,,,,,,PIGL,,
DENA-A274-H4,7/18/2007 8:56:57 AM,-2147483647,1,15,L,SE,I,26,,1,,,,,,,,,,,,,,,,PIGL,,
DENA-A274-H4,7/18/2007 8:56:57 AM,-2147483646,1,27,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIGL,,
DENA-A274-H4,7/20/2016 10:50:59 AM,,,,,,,,,,,,,,1,3,2,1,2,Jennifer Barnes,J. Hrobak,,,,,,True,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483648,1,3,L,SE,R,25,,1,,,,,,,,,,,,,,,,BEPA,,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483647,1,15,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483646,1,27,X,X,X,0,,1,no seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-F09,6/18/2014 3:14:22 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Northway; E. Groth; L. Ernst,J. Northway,,,,,,True,
LACL-CUR-F09,6/18/2014 3:14:22 PM,-2147483648,1,3,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-F09,6/18/2014 3:14:22 PM,-2147483647,1,14,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-F09,6/18/2014 3:14:22 PM,-2147483646,1,27,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-D02,6/19/2014 10:48:29 AM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Barnes; L. Ernst; B. West,J. Northway,,,,,,True,
LACL-CUR-D02,6/19/2014 10:48:29 AM,-2147483648,1,3,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-D02,6/19/2014 10:48:29 AM,-2147483647,1,14,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-D02,6/19/2014 10:48:29 AM,-2147483646,1,27,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
B288-01-1179,7/7/2005 9:44:59 AM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
B288-01-1179,7/7/2005 9:44:59 AM,1,1,3,L,,I,2,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
B288-01-1179,7/7/2005 9:44:59 AM,2,1,27,L,,I,14,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
B288-01-1179,7/7/2005 9:44:59 AM,3,1,15,L,,I,3,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,,,,,,,,,,,,,,1,4,2,1,2,J. Northway; J. Thatcher,J. Northway,,,,,,True,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483648,1,1,L,SE,I,1,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483647,1,1,L,SE,M,5,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483646,1,1,L,SE,M,1,,1,,,,,,,,,,,,,,,,LALA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483645,1,1,L,SE,I,1,,1,,,,,,,,,,,,,,,,LALA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483644,1,2,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483643,1,3,L,SE,I,42,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483642,1,3,L,SE,M,6,,1,,,,,,,,,,,,,,,,PIMA,,
DENA-BVL-10,8/5/2014 11:35:11 AM,-2147483641,1,4,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-20,7/31/2014 12:39:46 PM,,,,,,,,,,,,,,1,4,2,2,4,J. Northway; K. Mitchell,J. Northway,,,,,,True,
DENA-WIG-20,7/31/2014 12:39:46 PM,-2147483648,1,4,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-20,7/31/2014 12:39:46 PM,-2147483647,1,11,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-20,7/31/2014 12:39:46 PM,-2147483646,1,6,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-WIG-20,7/31/2014 12:39:46 PM,-2147483645,1,13,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-A05,6/17/2014 2:21:32 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J. Barnes; B. West; L. Schomaker,J. Northway,,,,,,True,
LACL-CUR-A05,6/17/2014 2:21:32 PM,-2147483648,1,3,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-A05,6/17/2014 2:21:32 PM,-2147483647,1,14,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
LACL-CUR-A05,6/17/2014 2:21:32 PM,-2147483646,1,27,X,,,0,,1,No Seedlings,,,,,,,,,,,,,,,UNKN_100,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J Barnes; J OConnor,J OConnor,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483648,1,4,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483647,1,8,L,SE,M,2,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483646,1,12,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,,,,,,,,,,,,,,1,3,0,0,3.14,,,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J Barnes; J O'Connor,J O'Connor,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,-2147483648,1,4,L,SE,I,6,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,-2147483647,1,4,L,SE,M,2,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,-2147483646,1,8,L,SE,M,3,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,-2147483645,1,12,L,SE,M,3,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HQ-TX-03,6/28/2023 11:32:14 AM,,,,,,,,,,,,,,1,3,0,0,3.14,,,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,,,,,,,,,,,,,,1,3,0,0,3.14,J Mitchell; C Campanelli; H Bradshaw; B McCreary,J OConnor,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,-2147483648,1,4,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,-2147483647,1,8,,,,0,,1,No Seedlings,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,-2147483646,1,12,L,SE,I,1,,1,,1,,,,,,,,,,,,,,PIGL,,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,,,,,,,,,,,,,,1,3,0,0,3.14,K. Cowan; V. Belser,J. Hrobak,Quadrat Radius (if Circular Plot) (m),,,,,True,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,-2147483648,1,4,,,,0,,1,No Seedlings.,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,-2147483647,1,8,,,,0,,1,No Seedlings.,1,,,,,,,,,,,,,,UNKN_100,,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,-2147483646,1,12,L,SE,M,1,,1,,1,,,,,,,,,,,,,,PIGL,,
A223-86-246,7/8/2005 11:42:12 AM,,,,,,,,,,,,,,1,3,1,1,1,,,,,,,,True,
A223-86-246,7/8/2005 11:42:12 AM,1,1,3,L,,I,1,,1,,,, TreeSeedling,,,,,,,,,,,,PIMA,,
A223-86-246,7/8/2005 11:42:12 AM,2,1,3,L,,M,2,,1,,,, TreeSeedling,,,,,,,,,,,,POTR5,,
A223-86-246,7/8/2005 11:42:12 AM,3,1,15,L,,M,2,,1,,,, TreeSeedling,,,,,,,,,,,,POTR5,,
