RegistrationUnit_Name,ProjectUnit_Name,MacroPlot_Name,Multi_PU,SampleEvent_Date,SampleEvent_LegacyMonitoringStatus,MonitoringStatus_Name,Protocols,Visited
"AKWEST","BELA-Fairhaven-HZF","BELA-FAIR-04","N",6/21/2012 4:49:56 PM,"PostTreatmentYear0","PostTreatmentYear0","Cover - Points (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-00","N",7/2/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-00","N",7/2/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/25/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/25/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/1/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/1/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/26/1983,"PostBurnYear6","PostBurnYear6","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/7/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/7/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/30/2019 1:23:12 PM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/30/2019 1:23:12 PM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-01","N",7/30/2019 1:23:12 PM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/14/1973,"PreBurn","PreBurn","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/14/1973,"PreBurn","PreBurn","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/15/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/15/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/26/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/26/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/2/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/2/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/26/1983,"PostBurnYear6","PostBurnYear6","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/8/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/8/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/31/2019 4:49:48 PM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/31/2019 4:49:48 PM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-02","N",7/31/2019 4:49:48 PM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/14/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/14/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/26/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/26/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/1/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/1/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/26/1983,"PostBurnYear6","PostBurnYear6","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/8/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/8/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/31/2019 9:00:53 AM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/31/2019 9:00:53 AM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-03","N",7/31/2019 9:00:53 AM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/26/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/26/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/3/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/3/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/26/1983,"PostBurnYear6","PostBurnYear6","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/9/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/9/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/31/2019 9:53:51 AM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/31/2019 9:53:51 AM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-04","N",7/31/2019 9:53:51 AM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/26/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/26/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/3/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/3/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/26/1983,"PostBurnYear6","PostBurnYear6","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/8/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/8/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/31/2019 2:28:26 PM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/31/2019 2:28:26 PM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-05","N",7/31/2019 2:28:26 PM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/14/1973,"PreBurn","PreBurn","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/14/1973,"PreBurn","PreBurn","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/27/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/27/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/3/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/3/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/8/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",7/8/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",8/1/2019 8:15:49 AM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",8/1/2019 8:15:49 AM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-06","N",8/1/2019 8:15:49 AM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/27/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/4/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/4/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/26/1983,"PostBurnYear6","PostBurnYear6","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/26/1983,"PostBurnYear6","PostBurnYear6","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/9/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",7/9/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",8/1/2019 1:14:04 PM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",8/1/2019 1:14:04 PM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-07","N",8/1/2019 1:14:04 PM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/14/1973,"PreBurn","PreBurn","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/14/1973,"PreBurn","PreBurn","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/27/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/27/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/4/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/4/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",8/15/2001,"PostBurnYear24","PostBurnYear24","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",8/15/2001,"PostBurnYear24","PostBurnYear24","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/9/2009,"PostBurnYear32","PostBurnYear32","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",7/9/2009,"PostBurnYear32","PostBurnYear32","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",8/1/2019 4:29:47 PM,"PostBurnYear42","PostBurnYear42","Disturbance History","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",8/1/2019 4:29:47 PM,"PostBurnYear42","PostBurnYear42","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-08","N",8/1/2019 4:29:47 PM,"PostBurnYear42","PostBurnYear42","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/14/1973,"PreBurn","PreBurn","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/14/1973,"PreBurn","PreBurn","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/16/1978,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/16/1978,"PostBurnYear1","PostBurnYear1","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/27/1979,"PostBurnYear2","PostBurnYear2","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/27/1979,"PostBurnYear2","PostBurnYear2","SOILS","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/4/1980,"PostBurnYear3","PostBurnYear3","Cover/Frequency (metric)","Y"
"AKWEST","BELA-Racine-Nimrod","BELA-NIM-09","N",7/4/1980,"PostBurnYear3","PostBurnYear3","SOILS","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-03","N",8/5/2014 12:19:03 PM,"PostBurnYear1","PostBurnYear1","Density - Quadrats (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-03","N",8/5/2014 12:19:03 PM,"PostBurnYear1","PostBurnYear1","CBI","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-03","N",8/5/2014 12:19:03 PM,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-03","N",8/5/2014 12:19:03 PM,"PostBurnYear1","PostBurnYear1","Disturbance History","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-03","N",8/5/2014 12:19:03 PM,"PostBurnYear1","PostBurnYear1","Cover - Species Composition (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-04","N",8/5/2014 9:34:48 AM,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-04","N",8/5/2014 9:34:48 AM,"PostBurnYear1","PostBurnYear1","Disturbance History","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-04","N",8/5/2014 9:34:48 AM,"PostBurnYear1","PostBurnYear1","CBI","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-04","N",8/5/2014 9:34:48 AM,"PostBurnYear1","PostBurnYear1","Density - Quadrats (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-04","N",8/5/2014 9:34:48 AM,"PostBurnYear1","PostBurnYear1","Cover - Species Composition (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-05","N",8/5/2014 10:24:33 AM,"PostBurnYear1","PostBurnYear1","Density - Quadrats (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-05","N",8/5/2014 10:24:33 AM,"PostBurnYear1","PostBurnYear1","Disturbance History","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-05","N",8/5/2014 10:24:33 AM,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-05","N",8/5/2014 10:24:33 AM,"PostBurnYear1","PostBurnYear1","CBI","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-05","N",8/5/2014 10:24:33 AM,"PostBurnYear1","PostBurnYear1","Cover - Species Composition (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-08","N",8/5/2014 12:36:53 PM,"PostBurnYear1","PostBurnYear1","Density - Quadrats (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-08","N",8/5/2014 12:36:53 PM,"PostBurnYear1","PostBurnYear1","CBI","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-08","N",8/5/2014 12:36:53 PM,"PostBurnYear1","PostBurnYear1","Cover - Species Composition (metric)","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-08","N",8/5/2014 12:36:53 PM,"PostBurnYear1","PostBurnYear1","SOILS","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-08","N",8/5/2014 12:36:53 PM,"PostBurnYear1","PostBurnYear1","Disturbance History","Y"
"AKWEST","DENA-CAKN-CBI","DENA-BVL-09","N",8/5/2014 10:40:47 AM,"PostBurnYear1","PostBurnYear1","Density - Quadrats (metric)","Y"
