MacroPlot Name,Date,Index,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,MinCovLevel,Area,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Species Symbol,Visited,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483631,X,,,1,,,,,,,,,,,,,,1HR,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483630,X,,,0.05,,,,,,,,,,,,,,W,,
NOAT-NAN-F07,6/23/2011 10:54:39 AM,-2147483629,L,,,65,,,,,,,,,,,,,,ERVA4,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,,,,,,,,,,,,0.031,J. Barnes & D. Kleinman,J. Northway,Height to Live Crown (cm),Height to ladder fuel (cm),Average DBH (cm),,,True,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483648,L,,,20,,,,,,,,,,,,,,BENA,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483647,L,,,2,,,,,,,,,,,,,,LEPAD,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483646,L,,,30,,,,,,,,,,,,,,VAUL,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483645,L,,,20,,,,,,,,,,,,,,VAVI,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483644,L,,,25,,,,,,,,,,,,,,RUCH,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483643,L,,,60,,,,,,,,,,,,,,ERVA4,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483642,L,,,20,,,,,,,,,,,,,,SPHAG2,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483641,L,,,15,,,,,,,,,,,,,,FMOSS,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483640,L,,,15,,,,,,,,,,,,,,AULAC2,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483639,L,,,1,,,,,,,,,,,,,,CLADI3,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483638,L,,,3,,,,,,,,,,,,,,PEAP60,,
NOAT-UVG-C04,6/30/2012 11:18:35 AM,-2147483637,X,,,30,,,,,,,,,,,,,,LTRH,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,,,,,,,,,,,,0.031,J. Barnes & D. Kleinman,J. Northway,Height to Live Crown (cm),Height to ladder fuel (cm),Average DBH (cm),,,True,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483648,L,,,5,,,,,,,,,,,,,,SAPU15,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483647,L,,,6,,,,,,,,,,,,,,BENA,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483646,L,,,15,,,,,,,,,,,,,,LEPAD,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483645,L,,R,10,,,,,,,,,,,,,,VAUL,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483644,L,,R,5,,,,,,,,,,,,,,VAVI,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483643,L,,R,15,,,,,,,,,,,,,,RUCH,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483642,L,,R,45,,,,,,,,,,,,,,ERVA4,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483641,L,,,2,,,,,,,,,,,,,,SPHAG2,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483640,L,,,1,,,,,,,,,,,,,,FMOSS,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483639,L,,,5,,,,,,,,,,,,,,AULAC2,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483638,L,,,0.5,,,,,,,,,,,,,,PEAP60,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483637,X,,,5,,,,,,,,,,,,,,LTRH,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483636,X,,,1,,,,,,,,,,,,,,1HR,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483635,X,,,10,,,,,,,,,,,,,,DM,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483634,X,,,30,,,,,,,,,,,,,,UD,,
NOAT-UVG-C04,6/30/2013 11:30:13 AM,-2147483633,X,,,5,,,,,,,,,,,,,,LD,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,,,,,,,,,,,,,,,,,,,,True,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483648,L,,,10,,,,,,,,,,,,,,SAPU15,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483647,L,,,20,,,,,,,,,,,,,,BENA,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483646,L,,,5,,,,,,,,,,,,,,LEPAD,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483645,L,,,2,,,,,,,,,,,,,,VAUL,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483644,L,,,3,,,,,,,,,,,,,,VAVI,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483643,L,,,1,,,,,,,,,,,,,,EMNI,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483642,L,,,5,,,,,,,,,,,,,,RUCH,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483641,L,,,30,,,,,,,,,,,,,,CABI5,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483640,L,,,25,,,,,,,,,,,,,,ERVA4,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483639,L,,,45,,,,,,,,,,,,,,SPHAG2,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483638,L,,,1,,,,,,,,,,,,,,POJU70,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483637,L,,,3,,,,,,,,,,,,,,AULAC2,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483636,L,,,0.05,,,,,,,,,,,,,,CEPU12,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483635,L,,,0.05,,,,,,,,,,,,,,PEDIC,,
NOAT-TUT-D02,7/1/2010 7:05:15 PM,-2147483634,L,,,0.05,,,,,,,,,,,,,,CLADO3,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,,,,,,,,,,,,,,,,,,,,True,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483648,L,,R,4,,,,,,,,,,,,,,SAPU15,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483647,L,,R,2,,both seedlings and resprouts observed,,,,,,,,,,,,BENA,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483646,L,,,0.05,,,,,,,,,,,,,,LEPAD,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483645,L,,,0.05,,,,,,,,,,,,,,VAUL,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483644,L,,,0.05,,,,,,,,,,,,,,VAVI,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483643,L,,,0.05,,,,,,,,,,,,,,EMNI,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483642,L,,,0.05,,,,,,,,,,,,,,RUCH,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483641,L,,R,15,,both seedlings and resprouts observed,,,,,,,,,,,,CABI5,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483640,L,,R,20,,,,,,,,,,,,,,ERVA4,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483639,L,,,40,,,,,,,,,,,,,,SPHAG2,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483638,L,,,0.05,,,,,,,,,,,,,,POJU70,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483637,L,,,0.05,,,,,,,,,,,,,,AULAC2,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483636,L,,,1,,,,,,,,,,,,,,CEPU12,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483635,L,,,0.05,,,,,,,,,,,,,,PEDIC,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483634,L,,,0.05,,,,,,,,,,,,,,CLADO3,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483633,X,,,1,,,,,,,,,,,,,,LTRH,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483632,X,,,5,,,,,,,,,,,,,,1HR,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483631,X,,,8,,,,,,,,,,,,,,10HR,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483630,X,,,20,,,,,,,,,,,,,,DM,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483629,X,,,3,,,,,,,,,,,,,,UD,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483628,X,,,2,,,,,,,,,,,,,,LD,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483627,X,,,0.05,,,,,,,,,,,,,,MIN,,
NOAT-TUT-D02,6/25/2011 5:41:01 PM,-2147483626,X,,,0.05,,,,,,,,,,,,,,W,,
A391-90-54,7/6/2005 1:15:36 PM,,,,,,,,,,,,,,,,,,,,True,
A391-90-54,7/6/2005 1:15:36 PM,1,L,,,17,,,,, OcularVeg,,,,,,,,,FMOSS,,
A391-90-54,7/6/2005 1:15:36 PM,2,L,,,4.5,,,,, OcularVeg,,,,,,,,,ALNUS,,
A391-90-54,7/6/2005 1:15:36 PM,3,L,,,4.5,,,,, OcularVeg,,,,,,,,,SPHAG2,,
A391-90-54,7/6/2005 1:15:36 PM,4,L,,,42,,,,, OcularVeg,,,,,,,,,CAREX,,
A391-90-54,7/6/2005 1:15:36 PM,5,L,,,17,,,,, OcularVeg,,,,,,,,,SALIX,,
A391-90-54,7/6/2005 1:15:36 PM,6,L,,,17,,,,, OcularVeg,,,,,,,,,CHCA2,,
A391-90-54,7/6/2005 1:15:36 PM,7,D,,,4.5,,,,, OcularVeg,,,,,,,,,PIMA,,
A391-90-54,7/6/2005 1:15:36 PM,8,L,,,4.5,,,,, OcularVeg,,,,,,,,,VAUL,,
A391-90-54,7/6/2005 1:15:36 PM,9,L,,,4.5,,,,, OcularVeg,,,,,,,,,LALA,,
A391-90-54,7/6/2005 1:15:36 PM,10,L,,,17,,,,, OcularVeg,,,,,,,,,MOSS,,
A391-90-54,7/6/2005 1:15:36 PM,11,L,,,42,,,,, OcularVeg,,,,,,,,,GRASS,,
A391-90-54,7/18/2006 3:31:20 PM,,,,,,,,,,,,,,,,,,,,True,
A391-90-54,7/18/2006 3:31:20 PM,1,L,,,17,,,,, OcularVeg,,,,,,,,,FMOSS,,
A391-90-54,7/18/2006 3:31:20 PM,2,L,,,4.5,,,.9,, OcularVeg,,,,,,,,,ALNUS,,
A391-90-54,7/18/2006 3:31:20 PM,3,L,,,4.5,,,,, OcularVeg,,,,,,,,,SPHAG2,,
A391-90-54,7/18/2006 3:31:20 PM,4,L,,,17,,,,, OcularVeg,,,,,,,,,CAREX,,
A391-90-54,7/18/2006 3:31:20 PM,5,L,,,17,,,.9,, OcularVeg,,,,,,,,,SALIX,,
A391-90-54,7/18/2006 3:31:20 PM,6,L,,,42,,,,, OcularVeg,,,,,,,,,CHCA2,,
A391-90-54,7/18/2006 3:31:20 PM,7,L,,,17,,,,, OcularVeg,,,,,,,,,CACA4,,
A391-90-54,7/18/2006 3:31:20 PM,8,L,,,4.5,,,4,, OcularVeg,,,,,,,,,PIMA,,
A391-90-54,7/18/2006 3:31:20 PM,9,L,,,42,,,.2,, OcularVeg,,,,,,,,,VAUL,,
A391-90-54,7/18/2006 3:31:20 PM,10,L,,,17,,,,, OcularVeg,,,,,,,,,EQUIS,,
A391-90-54,7/18/2006 3:31:20 PM,11,L,,,4.5,,,3,10,4 OcularVeg,,,,,,,,,LALA,,
A391-90-54,7/18/2006 3:31:20 PM,12,L,,,4.5,,,,, OcularVeg,,,,,,,,,MOSS,,
A391-90-54,7/18/2006 3:31:20 PM,13,L,,,42,,,.9,, OcularVeg,,,,,,,,,BENA,,
A391-90-54,7/18/2006 3:31:20 PM,14,L,,,4.5,,,,, OcularVeg,,,,,,,,,GRASS,,
A391-90-54,7/27/2011 1:51:02 PM,,,,,,,,,,,,15,J. Mitchell,J. Barnes,,,,,,True,
A391-90-54,7/27/2011 1:51:02 PM,-2147483648,D,,,2,,,,,,,,,,,,,,PIMA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483647,L,,,7,,,,,,,,,,,,,,LALA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483646,L,SE,,2,,,,,,,,,,,,,,PIMA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483645,L,SE,,1,,,,,,,,,,,,,,LALA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483644,L,,,2,,,,,,,,,,,,,,SAPU15,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483643,L,,,2,,,,,,,,,,,,,,SAMY,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483642,L,,,8,,,,,,,,,,,,,,SABE2,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483641,L,,,2,,,,,,,,,,,,,,ALINT,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483640,L,,I,1,,,,,,,,,,,,,,ALINT,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483639,L,,I,1,,,,,,,,,,,,,,BENA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483638,L,,,7,,,,,,,,,,,,,,BENA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483637,L,,,15,,,,,,,,,,,,,,CHCA2,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483636,L,,,5,,,,,,,,,,,,,,VAUL,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483635,L,,,7,,Data sheet said POPA; not sure on species,,,,,,,,,,,,POA,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483634,L,,,1,,,,,,,,,,,,,,RAGM,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483633,L,,,0.5,,,,,,,,,,,,,,EQUIS,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483632,L,,,19,,,,,,,,,,,,,,EQFL,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483631,L,,,8,,,,,,,,,,,,,,CAAQ,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483630,L,,,55,,,,,,,,,,,,,,CACA4,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483629,L,,,0.5,,,,,,,,,,,,,,CAREX,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483628,L,,,1,,Moss2,,,,,,,,,,,,TONI70,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483627,L,,,10,,,,,,,,,,,,,,SPHAG2,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483626,L,,,2,,,,,,,,,,,,,,CEPU12,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483625,L,,,5,,,,,,,,,,,,,,AUPA70,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483624,L,,,0.5,,,,,,,,,,,,,,PLSC70,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483623,L,,,0.5,,,,,,,,,,,,,,CLADO3,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483622,L,,,1,,,,,,,,,,,,,,PECA60,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483621,X,,,11,,,,,,,,,,,,,,LD,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483620,X,,,5,,,,,,,,,,,,,,LTRH,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483619,X,,,0.5,,,,,,,,,,,,,,1HR,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483618,X,,,0.5,,,,,,,,,,,,,,10HR,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483617,X,,,0.5,,,,,,,,,,,,,,100HR,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483616,X,,,25,,,,,,,,,,,,,,W,,
A391-90-54,7/27/2011 1:51:02 PM,-2147483615,X,,,0.5,,small brown less 3",,,,,,,,,,,,FUNGI,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,,,,,,,,,,,,,,,,,,,,True,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483648,L,,R,30,,both seedlings and resprouts observed,,,,,,,,,,,,SAPU15,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483647,L,,R,2,,both seedlings and resprouts observed,,,,,,,,,,,,SAGL,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483646,L,,R,35,,both seedlings and resprouts observed,,,,,,,,,,,,BENA,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483645,L,,R,5,,both seedlings and resprouts observed,,,,,,,,,,,,LEPAD,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483644,L,,R,10,,both seedlings and resprouts observed,,,,,,,,,,,,VAUL,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483643,L,,R,10,,both seedlings and resprouts observed,,,,,,,,,,,,VAVI,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483642,L,,R,5,,both seedlings and resprouts observed,,,,,,,,,,,,EMNI,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483641,L,,R,1,,both seedlings and resprouts observed,,,,,,,,,,,,ARRU,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483640,L,,R,2,,both seedlings and resprouts observed,,,,,,,,,,,,RUCH,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483639,L,,,40,,,,,,,,,,,,,,CABI5,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483638,L,,I,0.05,,,,,,,,,,,,,,CACA4,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483637,L,,R,35,,both seedlings and resprouts observed,,,,,,,,,,,,ERVA4,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483636,L,,,5,,,,,,,,,,,,,,MOSS,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483635,L,,,20,,,,,,,,,,,,,,SPHAG2,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483634,L,,,30,,,,,,,,,,,,,,FMOSS,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483633,L,,,5,,,,,,,,,,,,,,HYSP70,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483632,L,,,3,,,,,,,,,,,,,,POJU70,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483631,L,,,30,,,,,,,,,,,,,,AULAC2,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483630,L,,,1,,,,,,,,,,,,,,PEFR5,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483629,L,,,3,,,,,,,,,,,,,,CLADI3,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483628,L,,,15,,,,,,,,,,,,,,CLADO3,,
NOAT-SID-G01,7/1/2010 8:12:00 PM,-2147483627,L,,,2,,,,,,,,,,,,,,PEAP60,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,,,,,,,,,,,,,,,,,,,,True,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483648,L,,R,3,,both seedlings and resprouts observed,,,,,,,,,,,,SAPU15,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483647,L,,R,0.05,,,,,,,,,,,,,,SAGL,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483646,L,,R,15,,both seedlings and resprouts observed,,,,,,,,,,,,BENA,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483645,L,,R,2,,both seedlings and resprouts observed,,,,,,,,,,,,LEPAD,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483644,L,,R,1,,both seedlings and resprouts observed,,,,,,,,,,,,VAUL,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483643,L,,R,1,,both seedlings and resprouts observed,,,,,,,,,,,,VAVI,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483642,L,,R,0.05,,both seedlings and resprouts observed,,,,,,,,,,,,EMNI,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483641,L,,R,0.05,,both seedlings and resprouts observed,,,,,,,,,,,,ARRU,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483640,L,,R,0.05,,both seedlings and resprouts observed,,,,,,,,,,,,RUCH,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483639,L,,R,20,,,,,,,,,,,,,,CABI5,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483638,L,,I,0.05,,,,,,,,,,,,,,CACA4,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483637,L,,R,20,,both seedlings and resprouts observed,,,,,,,,,,,,ERVA4,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483636,L,,,1,,,,,,,,,,,,,,MOSS,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483635,L,,,10,,,,,,,,,,,,,,SPHAG2,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483634,L,,,20,,,,,,,,,,,,,,FMOSS,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483633,L,,,1,,Likely POST; not POJU,,,,,,,,,,,,POJU70,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483632,L,,,15,,,,,,,,,,,,,,AULAC2,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483631,L,,,0.05,,,,,,,,,,,,,,PEFR5,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483630,L,,,1,,,,,,,,,,,,,,CLADI3,,
NOAT-SID-G01,6/24/2011 6:39:19 PM,-2147483629,L,,,1,,,,,,,,,,,,,,CLADO3,,
